Transcript.ID,Gene.ID,expression,change,log_change,DMSO_4H_2,THZ1_4H_250nM,log2_fold_4h_250nM,rank
NM_000035,ALDOB,5.086,4.9885,-0.0975,4.922,4.6805,-0.2415,441
NM_000048,ASL,7.4785,7.2735,-0.205,7.188,7.0945,-0.0935,1246
NM_000067,CA2,3.111,3.3805,0.2695,3.288,3.571,0.283,6
NM_000074,CD40LG,7.8505,7.1615,-0.689,7.146,5.807,-1.339,1352
NM_000079,CHRNA1,4.2395,3.977,-0.2625,4.178,4.1,-0.078,139
NM_000090,COL3A1,4.1655,3.9605,-0.205,4.432,4.2795,-0.1525,118
NM_000100,CSTB,11.6535,11.5555,-0.098,11.602,11.1865,-0.4155,1949
NM_000110,DPYD,6.057,5.7575,-0.2995,8.429,8.1525,-0.2765,831
NM_000128,F11,4.2555,4.2165,-0.039,4.478,4.3415,-0.1365,143
NM_000160,GCGR,5.7615,5.4145,-0.347,5.675,5.4555,-0.2195,717
NM_000163,GHR,4.081,4.0685,-0.0125,3.668,3.4175,-0.2505,104
NM_000176,NR3C1,6.623,6.908,0.285,9.063,7.565,-1.498,1034
NM_000189,HK2,9.0975,9.4505,0.353,9.374,8.489,-0.885,1637
NM_000229,LCAT,5.8855,5.4605,-0.425,5.609,5.464,-0.145,773
NM_000230,LEP,5.1235,4.9205,-0.203,4.963,4.906,-0.057,464
NM_000233,LHCGR,4.116,4.3135,0.1975,3.612,4.362,0.75,113
NM_000238,KCNH2,9.796,8.283,-1.513,8.896,7.547,-1.349,1750
NM_000261,MYOC,5.0805,4.7895,-0.291,4.923,4.877,-0.046,438
NM_000268,NF2,5.9725,6.1895,0.217,6.363,5.7155,-0.6475,803
NM_000283,PDE6B,7.8245,6.426,-1.3985,8.168,7.3665,-0.8015,1346
NM_000290,PGAM2,4.8865,4.551,-0.3355,4.572,4.674,0.102,352
NM_000309,PPOX,5.0995,5.102,0.0025,5.37,4.8165,-0.5535,450
NM_000333,ATXN7,8.067,7.5625,-0.5045,9.226,7.311,-1.915,1401
NM_000344,SMN1,5.2775,5.632,0.3545,6.509,4.968,-1.541,539
NM_000373,UMPS,11.0095,9.2785,-1.731,11.716,7.9545,-3.7615,1904
NM_000401,EXT2,9.0765,8.7525,-0.324,8.788,7.817,-0.971,1636
NM_000403,GALE,8.0235,7.3885,-0.635,8.288,7.472,-0.816,1392
NM_000419,ITGA2B,5.749,5.4485,-0.3005,5.844,5.8,-0.044,711
NM_000420,KEL,5.0605,5.115,0.0545,5.214,4.914,-0.3,430
NM_000443,ABCB4,3.8405,3.8935,0.053,3.721,4.0695,0.3485,55
NM_000458,HNF1B,5.41,5.164,-0.246,5.105,5.1485,0.0435,594
NM_000462,UBE3A,9.9875,9.902,-0.0855,11.944,10.867,-1.077,1778
NM_000475,NR0B1,4.671,4.6155,-0.0555,4.772,4.83,0.058,262
NM_000493,COL10A1,4.0245,3.932,-0.0925,3.74,3.909,0.169,93
NM_000530,MPZ,5.986,5.684,-0.302,4.778,4.562,-0.216,811
